sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;distance;
1584542901;933941;617;424357;1584542901;933871;1.6;
1584542902;35304;617;525633;1584542902;35233;0.77;
1584542902;139013;617;629396;1584542902;138943;2.08;
1584542902;237011;617;727388;1584542902;236941;0.78;
1584542902;338267;617;828618;1584542902;338197;1;
1584542902;441021;617;931402;1584542902;440951;1.05;
1584542902;539831;618;30274;1584542902;539758;1.78;
1584542902;640817;618;131239;1584542902;640747;1.16;
1584542902;742455;618;232843;1584542902;742385;1.8;
1584542902;842623;618;333068;1584542902;842550;1.65;
1584542902;945935;618;436562;1584542902;945865;1.96;
1584542903;44071;618;534452;1584542903;44000;0.97;
1584542903;147897;618;638233;1584542903;147829;2.1;
1584542903;247314;618;737725;1584542903;247242;2.07;
1584542903;348571;618;838911;1584542903;348502;0.92;
1584542903;449192;618;939527;1584542903;449121;2.08;
1584542903;550073;619;40427;1584542903;550000;0.67;
1584542903;650664;619;140979;1584542903;650598;1.21;
1584542903;750375;619;240784;1584542903;750304;1.37;
1584542903;853436;619;343988;1584542903;853366;1.42;
1584542903;955008;619;445376;1584542903;954937;1.65;
1584542904;54384;619;544838;1584542904;54311;2.07;
1584542904;154856;619;645210;1584542904;154785;1.94;
1584542904;256710;619;747086;1584542904;256639;1.25;
1584542904;357046;619;849415;1584542904;356974;1.16;
1584542904;457540;619;948162;1584542904;457467;1.84;
1584542904;557627;620;48199;1584542904;557001;1.76;
1584542904;660730;620;151047;1584542904;660660;1.9;
1584542904;759220;620;249585;1584542904;759148;1.39;
1584542904;859432;620;349785;1584542904;859359;1.69;
1584542904;959681;620;450157;1584542904;959609;1.67;
1584542905;60456;620;550775;1584542905;60387;1.62;
1584542905;161055;620;651439;1584542905;160985;1.29;
1584542905;261104;620;751466;1584542905;261033;1.55;
1584542905;362273;620;854180;1584542905;362200;1.49;
1584542905;463897;620;954295;1584542905;463827;0.97;
1584542905;563769;621;54118;1584542905;563696;2.13;
1584542905;666152;621;156553;1584542905;666080;2.55;
1584542905;764987;621;255381;1584542905;764916;1.64;
1584542905;866951;621;357370;1584542905;866879;0.87;
1584542905;969258;621;461088;1584542905;969187;0.89;
1584542906;69539;621;560154;1584542906;69468;0.65;
1584542906;173342;621;666432;1584542906;172924;1.11;
1584542906;272254;621;762568;1584542906;272187;1.11;
1584542906;373327;621;865003;1584542906;373254;1.41;
1584542906;474002;621;964288;1584542906;473930;0.65;
