sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;position;
1584543043;356951;758;843805;1584543043;356951;0.02063051;
1584543043;457800;758;944740;1584543043;457800;0.03093051;
1584543043;558835;759;45685;1584543043;558835;0.03608814;
1584543043;659601;759;146465;1584543043;659601;0.03608814;
1584543043;760368;759;247219;1584543043;760368;0.05156102;
1584543043;861146;759;348039;1584543043;861146;0.05670339;
1584543043;961866;759;448710;1584543043;961866;0.07217628;
1584543044;62625;759;549480;1584543044;62625;0.0876339;
1584543044;163378;759;650255;1584543044;163378;0.09794915;
1584543044;264334;759;751312;1584543044;264334;0.1031068;
1584543044;365354;759;852205;1584543044;365354;0.1031068;
1584543044;466056;759;952913;1584543044;466056;0.1031068;
1584543044;566850;760;53705;1584543044;566850;0.1031068;
1584543044;667633;760;154492;1584543044;667633;0.1031068;
1584543044;768390;760;255247;1584543044;768390;0.1031068;
1584543044;869209;760;356101;1584543044;869209;0.1031068;
1584543044;970211;760;457068;1584543044;970211;0.1031068;
1584543045;71156;760;558108;1584543045;71156;0.1031068;
1584543045;171220;760;658071;1584543045;171220;0.1031068;
1584543045;271943;760;758794;1584543045;271943;0.1031068;
1584543045;372830;760;859683;1584543045;372830;0.1031068;
1584543045;473611;760;960463;1584543045;473611;0.1031068;
1584543045;574398;761;61251;1584543045;574398;0.1031068;
1584543045;675162;761;162013;1584543045;675162;0.1031068;
1584543045;775905;761;262754;1584543045;775905;0.1031068;
1584543045;876635;761;363482;1584543045;876635;0.1031068;
1584543045;977332;761;464175;1584543045;977332;0.1031068;
1584543046;78049;761;564904;1584543046;78049;0.1031068;
1584543046;178819;761;665664;1584543046;178819;0.1031068;
1584543046;279633;761;766481;1584543046;279633;0.1031068;
1584543046;380362;761;867218;1584543046;380362;0.1031068;
1584543046;481143;761;968005;1584543046;481143;0.1082644;
1584543046;581920;762;68874;1584543046;581920;0.1082644;
1584543046;682097;762;168948;1584543046;682097;0.1082644;
1584543046;782888;762;269737;1584543046;782888;0.1082644;
1584543046;883769;762;370624;1584543046;883769;0.1082644;
1584543046;984749;762;471597;1584543046;984749;0.1082644;
1584543047;85539;762;572372;1584543047;85539;0.1082644;
1584543047;186118;762;672957;1584543047;186118;0.1082644;
1584543047;286844;762;773697;1584543047;286844;0.1082644;
1584543047;387671;762;874605;1584543047;387671;0.1082644;
1584543047;487774;762;974622;1584543047;487774;0.1082644;
1584543047;588546;763;75392;1584543047;588546;0.1031068;
1584543047;689396;763;176230;1584543047;689396;0.1031068;
1584543047;790055;763;276905;1584543047;790055;0.1031068;
1584543047;890822;763;377752;1584543047;890822;0.1031068;
1584543047;991657;763;478510;1584543047;991657;0.1082644;
1584543048;92525;763;579367;1584543048;92525;0.1031068;
1584543048;193229;763;680178;1584543048;193229;0.1082644;
1584543048;294358;763;781205;1584543048;294358;0.1031068;
1584543048;395242;763;882094;1584543048;395242;0.1031068;
1584543048;496027;763;982863;1584543048;496027;0.1082644;
1584543048;596764;764;83614;1584543048;596764;0.1082644;
1584543048;697473;764;184321;1584543048;697473;0.1031068;
1584543048;798326;764;285180;1584543048;798326;0.1082644;
1584543048;899154;764;385990;1584543048;899154;0.1082644;
1584543048;999836;764;486734;1584543048;999836;0.1082644;
1584543049;100445;764;587296;1584543049;100445;0.1082644;
1584543049;201273;764;688119;1584543049;201273;0.1082644;
1584543049;302100;764;788949;1584543049;302100;0.1082644;
1584543049;402795;764;889643;1584543049;402795;0.1082644;
1584543049;503536;764;990388;1584543049;503536;0.1082644;
1584543049;604328;765;91176;1584543049;604328;0.1082644;
