sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;latitude;longitude;altitude;heading;
1584543153;52803;868;546172;1584543153;52803;0;0;0;0.6200081;
1584543153;153547;868;646902;1584543153;153547;0;0;0;0.6284629;
1584543153;177359;868;670739;1584543153;177359;0;0;0;0.6369542;
1584543153;201411;868;694096;1584543153;201411;0;0;0;0.6455474;
1584543153;233114;868;729474;1584543153;233114;0;0;0;0.6541007;
1584543153;314905;868;820303;1584543153;314905;0;0;0;0.6629827;
1584543153;398939;868;892093;1584543153;398939;0;0;0;0.671661;
1584543153;431122;868;923812;1584543153;431122;0;0;0;0.6801265;
1584543153;532446;869;25782;1584543153;532446;0;0;0;0.6888216;
1584543153;609176;869;101619;1584543153;609176;0;0;0;0.6974437;
1584543153;648546;869;146238;1584543153;648546;0;0;0;0.705912;
1584543153;744302;869;241147;1584543153;744302;0;0;0;0.7147309;
1584543153;836283;869;332521;1584543153;836283;0;0;0;0.7234074;
1584543153;915520;869;408609;1584543153;915520;0;0;0;0.7321051;
1584543153;952688;869;446279;1584543153;952688;0;0;0;0.740565;
1584543154;52512;869;545420;1584543154;52512;0;0;0;0.7494071;
1584543154;124225;869;622977;1584543154;124225;0;0;0;0.7580976;
1584543154;153468;869;646629;1584543154;153468;0;0;0;0.7665233;
1584543154;176242;869;668353;1584543154;176242;0;0;0;0.7750446;
1584543154;192652;869;684707;1584543154;192652;0;0;0;0.7835695;
1584543154;209972;869;701922;1584543154;209972;0;0;0;0.7920538;
1584543154;236292;869;728430;1584543154;236292;0;0;0;0.800514;
1584543154;263449;869;758742;1584543154;263449;0;0;0;0.8089717;
1584543154;362103;869;854264;1584543154;362103;0;0;0;0.8177876;
1584543154;378643;869;870638;1584543154;378643;0;0;0;0.8262718;
1584543154;394780;869;886788;1584543154;394780;0;0;0;0.8347536;
1584543154;413159;869;905287;1584543154;413159;0;0;0;0.8432202;
1584543154;454282;869;946662;1584543154;454282;0;0;0;0.8516511;
1584543154;524481;870;17010;1584543154;524481;0;0;0;0.8604159;
1584543154;606868;870;99734;1584543154;606868;0;0;0;0.869039;
1584543154;623507;870;115413;1584543154;623507;0;0;0;0.8774503;
1584543154;658618;870;150942;1584543154;658618;0;0;0;0.8858743;
1584543154;739424;870;231367;1584543154;739424;0;0;0;0.8945083;
1584543154;766927;870;258850;1584543154;766927;0;0;0;0.9029276;
1584543154;784257;870;276396;1584543154;784257;0;0;0;0.9113572;
1584543154;801310;870;293393;1584543154;801310;0;0;0;0.9198464;
1584543154;820193;870;312289;1584543154;820193;0;0;0;0.9282567;
1584543154;844241;870;349677;1584543154;844241;0;0;0;0.9366893;
1584543154;928166;870;420601;1584543154;928166;0;0;0;0.9470432;
1584543154;972970;870;465238;1584543154;972970;0;0;0;0.9565858;
1584543155;50730;870;543945;1584543155;50730;0;0;0;0.9675578;
1584543155;84186;870;576314;1584543155;84186;0;0;0;0.977668;
1584543155;166897;870;658970;1584543155;166897;0;0;0;0.9898206;
1584543155;183542;870;675791;1584543155;183542;0;0;0;0.9995038;
1584543155;202042;870;694132;1584543155;202042;0;0;0;1.01008;
1584543155;217408;870;709664;1584543155;217408;0;0;0;1.020605;
1584543155;236706;870;733637;1584543155;236706;0;0;0;1.030729;
1584543155;267759;870;760125;1584543155;267759;0;0;0;1.041709;
1584543155;403325;870;895200;1584543155;403325;0;0;0;1.058353;
1584543155;419812;870;912052;1584543155;419812;0;0;0;1.069457;
1584543155;444927;870;936873;1584543155;444927;0;0;0;1.081813;
1584543155;468989;870;961156;1584543155;468989;0;0;0;1.092296;
1584543155;506411;870;998315;1584543155;506411;0;0;0;1.103822;
1584543155;600592;871;92726;1584543155;600592;0;0;0;1.118991;
1584543155;680402;871;176823;1584543155;680402;0;0;0;1.128138;
1584543155;708195;871;200273;1584543155;708195;0;0;0;1.137369;
1584543155;726138;871;218094;1584543155;726138;0;0;0;1.145894;
1584543155;750129;871;242105;1584543155;750129;0;0;0;1.155702;
1584543155;773656;871;265794;1584543155;773656;0;0;0;1.165067;
1584543155;790378;871;297527;1584543155;790378;0;0;0;1.174909;
1584543155;878771;871;370807;1584543155;878771;0;0;0;1.185066;
1584543155;900258;871;394491;1584543155;900258;0;0;0;1.195189;
1584543155;919413;871;411975;1584543155;919413;0;0;0;1.204004;
1584543155;935659;871;435838;1584543155;935659;0;0;0;1.213635;
1584543155;973315;871;465941;1584543155;973315;0;0;0;1.222881;
1584543156;58893;871;550862;1584543156;58893;0;0;0;1.233039;
1584543156;128085;871;620272;1584543156;128085;0;0;0;1.242181;
1584543156;152495;871;644323;1584543156;152495;0;0;0;1.251415;
1584543156;174884;871;666519;1584543156;174884;0;0;0;1.260573;
1584543156;193879;871;685647;1584543156;193879;0;0;0;1.270182;
1584543156;222162;871;714312;1584543156;222162;0;0;0;1.279885;
1584543156;241576;871;741477;1584543156;241576;0;0;0;1.289053;
1584543156;328130;871;820335;1584543156;328130;0;0;0;1.298847;
1584543156;353241;871;845431;1584543156;353241;0;0;0;1.308233;
1584543156;428654;871;920853;1584543156;428654;0;0;0;1.317993;
1584543156;453351;871;945855;1584543156;453351;0;0;0;1.327749;
1584543156;496270;871;988447;1584543156;496270;0;0;0;1.337857;
1584543156;582536;872;75074;1584543156;582536;0;0;0;1.34795;
1584543156;600315;872;92414;1584543156;600315;0;0;0;1.356798;
1584543156;622672;872;115820;1584543156;622672;0;0;0;1.36579;
1584543156;644174;872;136388;1584543156;644174;0;0;0;1.374681;
1584543156;739238;872;239086;1584543156;739238;0;0;0;1.384315;
1584543156;821927;872;314977;1584543156;821927;0;0;0;1.3959;
1584543156;855852;872;349019;1584543156;855852;0;0;0;1.404782;
1584543156;932063;872;425258;1584543156;932063;0;0;0;1.41475;
1584543156;958841;872;452067;1584543156;958841;0;0;0;1.42377;
1584543157;32553;872;525843;1584543157;32553;0;0;0;1.43414;
1584543157;59723;872;552873;1584543157;59723;0;0;0;1.443892;
1584543157;107783;872;600288;1584543157;107783;0;0;0;1.453873;
1584543157;206394;872;699886;1584543157;206394;0;0;0;1.46687;
1584543157;306862;872;800708;1584543157;306862;0;0;0;1.478624;
1584543157;405900;872;898585;1584543157;405900;0;0;0;1.48866;
1584543157;572575;873;65355;1584543157;572575;0;0;0;1.499449;
1584543157;616585;873;109368;1584543157;616585;0;0;0;1.50773;
1584543157;715948;873;209117;1584543157;715948;0;0;0;1.516495;
1584543157;815212;873;308347;1584543157;815212;0;0;0;1.526204;
1584543157;915593;873;408316;1584543157;915593;0;0;0;1.535344;
1584543158;14636;873;508392;1584543158;14636;0;0;0;1.546499;
1584543158;120307;873;613286;1584543158;120307;0;0;0;1.558584;
1584543158;223036;873;716813;1584543158;223036;0;0;0;1.571244;
1584543158;321311;873;814802;1584543158;321311;0;0;0;1.573585;
1584543158;422486;873;916408;1584543158;422486;0;0;0;1.564775;
1584543158;522052;874;15899;1584543158;522052;0;0;0;1.552796;
1584543158;620359;874;114293;1584543158;620359;0;0;0;1.543148;
1584543158;720779;874;215935;1584543158;720779;0;0;0;1.531966;
1584543158;819825;874;313323;1584543158;819825;0;0;0;1.517668;
1584543158;918323;874;411016;1584543158;918323;0;0;0;1.506126;
1584543159;17915;874;511125;1584543159;17915;0;0;0;1.493523;
1584543159;118927;874;611112;1584543159;118927;0;0;0;1.478947;
1584543159;219131;874;711861;1584543159;219131;0;0;0;1.466888;
1584543159;318936;874;811023;1584543159;318936;0;0;0;1.453637;
1584543159;412411;874;914336;1584543159;412411;0;0;0;1.441417;
1584543159;527861;875;21568;1584543159;527861;0;0;0;1.432734;
1584543159;624991;875;118266;1584543159;624991;0;0;0;1.427196;
1584543159;724937;875;217439;1584543159;724937;0;0;0;1.423119;
1584543159;813254;875;306944;1584543159;813254;0;0;0;1.415283;
1584543159;916916;875;416716;1584543159;916916;0;0;0;1.410061;
1584543160;18584;875;518821;1584543160;18584;0;0;0;1.401633;
1584543160;118356;875;619165;1584543160;118356;0;0;0;1.390177;
1584543160;219505;875;716638;1584543160;219505;0;0;0;1.377502;
1584543160;308226;875;809038;1584543160;308226;0;0;0;1.3598;
1584543160;394311;875;888241;1584543160;394311;0;0;0;1.341535;
1584543160;435502;875;932749;1584543160;435502;0;0;0;1.338908;
1584543160;601913;876;94789;1584543160;601913;0;0;0;1.285539;
1584543160;631671;876;128450;1584543160;631671;0;0;0;1.282168;
1584543160;727179;876;220397;1584543160;727179;0;0;0;1.248683;
1584543160;753972;876;247850;1584543160;753972;0;0;0;1.243666;
1584543160;780772;876;273428;1584543160;780772;0;0;0;1.22961;
1584543160;811037;876;304174;1584543160;811037;0;0;0;1.216023;
1584543160;902860;876;397034;1584543160;902860;0;0;0;1.171519;
1584543160;936760;876;433738;1584543160;936760;0;0;0;1.165379;
1584543161;36869;876;533933;1584543161;36869;0;0;0;1.12711;
1584543161;133009;876;627120;1584543161;133009;0;0;0;1.100706;
1584543161;215133;876;727901;1584543161;215133;0;0;0;1.072397;
1584543161;315427;876;809086;1584543161;315427;0;0;0;1.045743;
1584543161;361413;876;855208;1584543161;361413;0;0;0;1.043798;
1584543161;448404;876;941684;1584543161;448404;0;0;0;1.020252;
1584543161;539679;877;32952;1584543161;539679;0;0;0;1.017628;
1584543161;619970;877;113597;1584543161;619970;0;0;0;1.019584;
1584543161;662048;877;155935;1584543161;662048;0;0;0;1.024158;
1584543161;749852;877;243639;1584543161;749852;0;0;0;1.025015;
1584543161;830238;877;323342;1584543161;830238;0;0;0;1.044244;
1584543161;920771;877;414131;1584543161;920771;0;0;0;1.062201;
1584543161;958064;877;450290;1584543161;958064;0;0;0;1.071061;
1584543162;46149;877;542568;1584543162;46149;0;0;0;1.081151;
1584543162;125353;877;619198;1584543162;125353;0;0;0;1.089113;
1584543162;161866;877;654897;1584543162;161866;0;0;0;1.096434;
1584543162;247007;877;743208;1584543162;247007;0;0;0;1.105104;
1584543162;326576;877;819451;1584543162;326576;0;0;0;1.111799;
1584543162;363444;877;856558;1584543162;363444;0;0;0;1.120048;
1584543162;441419;877;946363;1584543162;441419;0;0;0;1.130837;
1584543162;538886;878;31567;1584543162;538886;0;0;0;1.139698;
1584543162;570885;878;64692;1584543162;570885;0;0;0;1.147339;
1584543162;667355;878;160091;1584543162;667355;0;0;0;1.158308;
1584543162;744860;878;249815;1584543162;744860;0;0;0;1.169084;
1584543162;831314;878;324236;1584543162;831314;0;0;0;1.178628;
1584543162;867597;878;360281;1584543162;867597;0;0;0;1.186293;
1584543162;944258;878;444487;1584543162;944258;0;0;0;1.196831;
1584543162;978231;878;471642;1584543162;978231;0;0;0;1.204749;
1584543163;65563;878;558441;1584543163;65563;0;0;0;1.213003;
1584543163;145909;878;638328;1584543163;145909;0;0;0;1.221698;
1584543163;231919;878;725182;1584543163;231919;0;0;0;1.232709;
1584543163;267819;878;760619;1584543163;267819;0;0;0;1.242087;
1584543163;346103;878;838351;1584543163;346103;0;0;0;1.252953;
1584543163;378457;878;872031;1584543163;378457;0;0;0;1.263338;
1584543163;455200;878;972895;1584543163;455200;0;0;0;1.275478;
1584543163;566727;879;59867;1584543163;566727;0;0;0;1.287719;
1584543163;641492;879;137877;1584543163;641492;0;0;0;1.298926;
1584543163;678126;879;171113;1584543163;678126;0;0;0;1.308697;
1584543163;755985;879;249087;1584543163;755985;0;0;0;1.320314;
1584543163;788269;879;289580;1584543163;788269;0;0;0;1.329379;
1584543163;886929;879;383266;1584543163;886929;0;0;0;1.339637;
1584543163;980073;879;473399;1584543163;980073;0;0;0;1.350644;
1584543164;51284;879;548503;1584543164;51284;0;0;0;1.361039;
1584543164;86998;879;589378;1584543164;86998;0;0;0;1.370421;
1584543164;185055;879;677898;1584543164;185055;0;0;0;1.382729;
1584543164;289219;879;785991;1584543164;289219;0;0;0;1.394695;
1584543164;384251;879;888282;1584543164;384251;0;0;0;1.406386;
1584543164;500564;879;994708;1584543164;500564;0;0;0;1.418102;
1584543164;591691;880;87642;1584543164;591691;0;0;0;1.427396;
1584543164;671886;880;165379;1584543164;671886;0;0;0;1.436842;
1584543164;712161;880;205806;1584543164;712161;0;0;0;1.444447;
1584543164;803609;880;297181;1584543164;803609;0;0;0;1.449892;
1584543164;899201;880;393415;1584543164;899201;0;0;0;1.457234;
1584543164;977638;880;491061;1584543164;977638;0;0;0;1.461049;
