sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;voltage;
1584543401;54385;1116;546784;1584543401;54330;0.01142857;
1584543401;154960;1116;647298;1584543401;154912;0.01362637;
1584543401;255298;1116;747917;1584543401;255251;0.005274725;
1584543401;355998;1116;847862;1584543401;355957;0.01582417;
1584543401;457627;1116;950439;1584543401;457579;0.005274725;
1584543401;558992;1117;51882;1584543401;558933;0.005274725;
1584543401;658727;1117;150287;1584543401;658685;0.005714286;
1584543401;759188;1117;250762;1584543401;759144;0.005274725;
1584543401;859833;1117;351391;1584543401;859791;0.007032967;
1584543401;960449;1117;452432;1584543401;960408;0.005274725;
1584543402;61545;1117;553272;1584543402;61503;0.005274725;
1584543402;163136;1117;655155;1584543402;163084;0.005714286;
1584543402;264086;1117;755641;1584543402;264035;0.01230769;
1584543402;364797;1117;856827;1584543402;364756;0.02373626;
1584543402;465968;1117;957581;1584543402;465925;0.01230769;
1584543402;566621;1118;58399;1584543402;566579;0.01230769;
1584543402;667475;1118;159245;1584543402;667434;0.01274725;
1584543402;768146;1118;260106;1584543402;768098;0.01230769;
1584543402;869155;1118;361274;1584543402;869113;0.01274725;
1584543402;970454;1118;462273;1584543402;970412;0.0210989;
1584543403;71115;1118;563144;1584543403;71069;0.01274725;
1584543403;174204;1118;664630;1584543403;174139;0.01230769;
1584543403;273500;1118;765468;1584543403;272663;0.01274725;
1584543403;373315;1118;865357;1584543403;373272;0.01362637;
1584543403;474341;1118;965972;1584543403;474297;0.01274725;
1584543403;574742;1119;66306;1584543403;574696;0.0210989;
1584543403;675294;1119;167129;1584543403;675253;0.02417582;
1584543403;776123;1119;268202;1584543403;776082;0.01230769;
1584543403;877186;1119;369200;1584543403;877145;0.01186813;
1584543403;978219;1119;469841;1584543403;978173;0.01714286;
1584543404;78670;1119;570260;1584543404;78624;0.01230769;
1584543404;179113;1119;670713;1584543404;179067;0.01978022;
1584543404;279740;1119;771424;1584543404;279698;0.0210989;
1584543404;380315;1119;872163;1584543404;380273;0.02373626;
1584543404;481614;1119;973487;1584543404;481569;0.01802198;
1584543404;583103;1120;74687;1584543404;583057;0.01186813;
1584543404;684288;1120;175929;1584543404;684243;0.01186813;
1584543404;784910;1120;276711;1584543404;784868;0.01230769;
1584543404;885826;1120;378299;1584543404;885618;0.01230769;
1584543404;987189;1120;479603;1584543404;987135;0.01186813;
1584543405;87508;1120;579255;1584543405;87463;0.01230769;
1584543405;188432;1120;680074;1584543405;188387;0.01230769;
1584543405;289050;1120;781037;1584543405;289004;0.01230769;
1584543405;390286;1120;884324;1584543405;390236;0.01230769;
1584543405;490731;1120;984567;1584543405;490681;0.02065934;
1584543405;591417;1121;86548;1584543405;591368;0.01230769;
1584543405;693129;1121;187378;1584543405;693072;0.005274725;
